name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Ville Svensson,C,5.1 mkr,30,1.2,1.4,8,3,0,0,-8,25,0,0,1,-1,2,0,0,0,0,0,,
Anders Lindbäck,MV,6.9 mkr,30,4,4.3,0,0,0,0,0,6,0,0,0,0,0,23,-16,0,9,1,,
Måns Lindbäck,C,5.5 mkr,29,0,0.9,8,0,0,0,-20,47,0,-15,7,-3,5,0,0,0,0,0,,
Rasmus Bergqvist,B,4.6 mkr,29,0.2,1.2,0,3,0,0,-12,39,0,0,2,-5,2,0,0,0,0,0,,
Lucas Pettersson,FW,5.0 mkr,29,1.4,1.2,0,0,0,0,-12,41,2,-1,1,-2,0,0,0,0,0,0,,
Jonathan Myrenberg,B,6.5 mkr,29,0.8,1.6,0,0,0,0,-4,36,0,0,0,-4,1,0,0,0,0,0,,
Axel Smeds,FW,4.8 mkr,29,0.2,1.3,0,0,0,0,0,28,0,0,2,-3,2,0,0,0,0,0,,
Michal Svrcek,FW,4.9 mkr,28,0.4,1.6,4,6,0,0,-2,20,0,0,1,-1,0,0,0,0,0,0,,
Quinn Schmiemann,B,6.1 mkr,28,1.6,4,0,9,0,0,4,14,0,0,1,0,0,0,0,0,0,0,,
Ludwig Byström,B,6.3 mkr,27,0,1.4,0,3,0,0,-8,33,0,0,2,-3,0,0,0,0,0,0,,
Ivar Stenberg,FW,4.7 mkr,24,2.8,1,4,6,0,0,-26,41,0,0,0,-2,1,0,0,0,0,0,,
Linus Eriksson,FW,5.0 mkr,23,1.6,1.3,4,3,0,0,-6,27,0,-2,0,-7,4,0,0,0,0,0,,
Elliot Ekmark,C,5.5 mkr,22,1,2,4,0,0,0,0,15,0,2,0,0,1,0,0,0,0,0,,
Ruben Rafkin,B,6.7 mkr,22,0.2,1.8,0,6,0,0,0,20,0,0,1,-5,0,0,0,0,0,0,,
Ludvig Warg,FW,4.6 mkr,21,0.6,3,4,3,0,0,2,10,0,0,1,0,1,0,0,0,0,0,,
Jakob Ihs Wozniak,FW,5.1 mkr,20,2,2.2,4,3,0,0,4,9,0,0,0,0,0,0,0,0,0,0,,
Arttu Tuhkala,B,5.0 mkr,20,1.2,1.4,0,3,0,0,-2,19,0,0,0,0,0,0,0,0,0,0,,
Viggo Nordlund,FW,4.9 mkr,20,0.8,1.4,0,3,0,0,-2,18,1,0,1,-1,0,0,0,0,0,0,,
Hannes Hellberg,FW,5.4 mkr,20,0,1.4,0,3,0,0,-2,18,1,0,0,0,0,0,0,0,0,0,,
Måns Forsfjäll,B,6.5 mkr,19,1.8,2.4,0,0,0,0,4,15,0,0,2,-2,0,0,0,0,0,0,,
Tyler Benson,FW,5.8 mkr,19,0.2,0.7,0,0,0,0,-18,40,1,-2,1,-5,2,0,0,0,0,0,,
Gustav Hillström,C,5.0 mkr,18,0.2,1.4,4,3,0,0,-6,16,0,0,1,0,0,0,0,0,0,0,,
Oscar Lawner,FW,5.2 mkr,18,1.8,0.6,4,0,0,0,-24,41,0,0,2,-6,1,0,0,0,0,0,,
Viktor Nörringer,FW,4.9 mkr,18,1.2,1.4,0,3,0,0,2,14,0,0,0,-2,1,0,0,0,0,0,,
Mattias Hävelid,B,6.2 mkr,18,0,1.1,0,3,0,0,-16,31,0,0,1,-1,0,0,0,0,0,0,,
Petter Vesterheim,C,5.7 mkr,16,0.6,1.8,0,3,0,0,2,16,0,-3,0,-2,0,0,0,0,0,0,,
Theo Jacobsson,C,5.4 mkr,15,0,1.2,0,3,0,0,-2,14,0,0,0,0,0,0,0,0,0,0,,
William Ignberg Nilsson,FW,5.3 mkr,14,0.6,0.8,0,0,0,0,-14,27,0,0,1,-5,5,0,0,0,0,0,,
Åke Stakkestad,FW,5.0 mkr,13,0,1,0,3,0,0,-10,21,0,0,0,-2,1,0,0,0,0,0,,
Albert Sjöberg,FW,5.6 mkr,12,0,1.7,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,
Anton Ohlsson,FW,4.8 mkr,11,0.4,0.7,4,0,0,0,-12,19,0,0,0,-1,1,0,0,0,0,0,,
Wille Johansson,C,5.1 mkr,11,0,1.8,0,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,,
Tim Erixon,B,7.2 mkr,11,0,1.8,0,3,0,0,-4,11,0,0,2,-2,1,0,0,0,0,0,,
Marcus Karlström,B,6.2 mkr,10,0.4,2,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,,
Lukas Vesterlund,FW,4.8 mkr,10,0,1.4,0,3,0,0,-2,7,0,0,1,0,1,0,0,0,0,0,,
Theodor Hallquisth,B,4.5 mkr,10,0,1.1,0,0,0,0,-4,13,0,0,0,0,1,0,0,0,0,0,,
Linus Lindgren,B,4.9 mkr,10,0,0.7,0,0,0,0,-8,18,0,0,1,-1,0,0,0,0,0,0,,
Joel Svensson,FW,4.6 mkr,9,0,2.3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,
Fabian Wagner,C,5.1 mkr,9,0,0.6,0,0,0,0,-8,18,0,-1,0,0,0,0,0,0,0,0,,
Simon Zether,C,5.5 mkr,8,0,2.7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,
Kevin Rönnelöw,B,4.5 mkr,6,0,1.2,0,0,0,0,0,7,0,0,0,-1,0,0,0,0,0,0,,
Hugo Lejon,FW,4.5 mkr,6,0,0.9,0,0,0,0,-2,7,0,0,1,0,0,0,0,0,0,0,,
Hugo Orrsten,C,5.0 mkr,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,
Luka Radivojevic,B,5.0 mkr,5,0,2.5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,,
Gustav Rydahl,C,7.3 mkr,5,0,1.3,0,0,0,0,-2,7,0,0,0,0,0,0,0,0,0,0,,
Elias Straume Vatne,FW,4.5 mkr,4,0,0.8,0,3,0,0,-4,5,0,0,0,0,0,0,0,0,0,0,,
Lukas Cederholm,B,4.5 mkr,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,
Oscar Davidsson,C,5.0 mkr,4,0,0.4,0,0,0,0,-6,10,0,0,0,0,0,0,0,0,0,0,,
Emon Kulmala,FW,4.5 mkr,4,0,0.6,0,0,0,0,-4,7,0,0,0,-1,2,0,0,0,0,0,,
Eric Bürger,B,4.5 mkr,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,
Emil Melander,B,4.5 mkr,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,
August Lissel,C,4.9 mkr,2,0.6,0.2,0,0,0,0,-8,13,0,-1,0,-2,0,0,0,0,0,0,,
Måns Toresson,C,5.0 mkr,2,0.2,0.3,0,0,0,0,-6,8,0,0,0,0,0,0,0,0,0,0,,
Kevin Israelsson,B,4.5 mkr,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
Kasper Larsen,B,5.0 mkr,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
Dennis Värmhed,C,5.0 mkr,1,0.2,0.3,0,0,0,0,-2,3,0,0,0,0,0,0,0,0,0,0,,
John Nyberg,B,5.9 mkr,1,0,0.1,0,0,0,0,-14,21,0,0,1,-8,1,0,0,0,0,0,,
Herman Hansson,FW,5.8 mkr,1,0,0.2,0,0,0,0,-4,6,0,0,0,-1,0,0,0,0,0,0,,
Albert Schioldan,FW,4.5 mkr,1,-0.2,0.2,0,0,0,0,-6,7,0,0,0,0,0,0,0,0,0,0,,
August Berg,B,6.0 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Adam Pettersson,C,5.0 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Anton Johannesson,B,6.0 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lucas Lagerberg,B,5.0 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hugo Jonasson,B,5.5 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Linus Lindström,C,8.0 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Daniel Zaar,FW,7.5 mkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Milton Gästrin,FW,4.5 mkr,0,0,0,0,0,0,0,-4,5,0,0,0,-1,0,0,0,0,0,0,,
Noel Fransén,B,4.5 mkr,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,,
Martin Lundberg,C,6.9 mkr,0,-0.2,0,0,0,0,0,-2,5,0,-3,0,0,0,0,0,0,0,0,,
Jacob Bengtsson,B,5.7 mkr,0,-0.6,0,0,0,0,0,-6,9,0,0,0,-3,0,0,0,0,0,0,,
Jakob Norèn,B,4.4 mkr,-1,-0.4,-0.1,0,0,0,0,-16,14,0,0,0,0,1,0,0,0,0,0,,
Oliwer Kaski,B,8.0 mkr,-2,0,-2,0,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,0,,
