name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Stian Solberg,B,6.7 mkr,144,2.2,3.2,12,27,0,0,2,85,1,0,6,-8,19,0,0,0,0,0,,
Pontus Själin,B,7.1 mkr,144,1.4,3,8,12,0,0,8,100,1,0,21,-10,4,0,0,0,0,0,,
Alexander True,C,6.5 mkr,143,2.2,2.8,28,30,2,0,-30,109,0,-1,8,-8,2,0,0,0,0,0,,
Sean Day,B,7.2 mkr,143,0.8,3.2,8,27,0,0,-34,121,3,0,12,-3,9,0,0,0,0,0,,
Ludvig Persson,MV,8.0 mkr,142,1.6,6.2,0,0,0,2,0,20,0,0,0,0,0,83,-37,8,42,1,,
Linus Öberg,FW,6.7 mkr,141,7.2,2.7,28,9,4,0,-2,99,1,0,2,-4,1,0,0,0,0,0,,
Pontus Johansson,B,6.0 mkr,141,2.2,2.8,12,24,0,0,0,108,2,0,5,-10,0,0,0,0,0,0,,
Jonas Arntzen,MV,8.1 mkr,141,1.2,5.2,0,3,0,6,0,26,0,0,0,0,0,128,-71,4,12,6,,
Henrik Björklund,FW,6.9 mkr,140,4.2,2.9,32,27,0,0,-8,87,1,-2,7,-6,2,0,0,0,0,0,,
Lucas Elvenes,FW,7.9 mkr,140,1.8,3.7,16,78,0,0,-28,83,0,0,2,-12,1,0,0,0,0,0,,
Lukas Jasek,C,7.3 mkr,139,2.2,2.7,32,30,2,0,-42,117,6,-5,4,-9,1,0,0,0,0,0,,
Linus Arnesson,B,6.4 mkr,139,2.6,2.8,0,27,0,0,-14,108,1,0,11,-3,9,0,0,0,0,0,,
Peter Cehlarik,FW,8.2 mkr,138,2.4,3.5,48,27,4,0,-20,77,7,0,4,-10,1,0,0,0,0,0,,
Jacob Peterson,C,6.9 mkr,138,1,2.7,36,21,2,0,-22,100,2,1,2,-6,2,0,0,0,0,0,,
Teemu Kivihalme,B,6.8 mkr,138,2,3.2,8,36,2,0,-12,102,2,0,4,-4,0,0,0,0,0,0,,
Theo Lindstein,B,6.4 mkr,137,3.4,3.1,16,18,0,0,18,82,1,0,4,-3,1,0,0,0,0,0,,
Calle Själin,B,7.7 mkr,137,3.6,3.9,16,15,4,0,-2,84,5,0,14,-4,5,0,0,0,0,0,,
Noah Hasa,C,6.6 mkr,137,3.4,3.2,16,12,2,0,20,81,1,-3,11,-6,3,0,0,0,0,0,,
Milton Oscarson,C,6.3 mkr,136,3.2,2.6,20,18,0,0,-26,106,1,-12,14,-7,22,0,0,0,0,0,,
Jacob Johansson,MV,8.4 mkr,136,1.2,5.7,0,3,0,4,0,21,0,0,0,0,0,84,-54,20,33,1,,
Melvin Fernström,FW,6.2 mkr,135,0.4,3,32,27,4,0,-20,81,4,0,8,-2,1,0,0,0,0,0,,
Oscar Engsund,B,6.9 mkr,132,2.8,2.8,0,12,0,0,-34,107,1,0,26,-13,33,0,0,0,0,0,,
Jérémy Groleau,B,7.0 mkr,132,2,3.2,0,12,0,0,20,91,0,0,8,-6,7,0,0,0,0,0,,
Hugo Alnefelt,MV,8.0 mkr,132,2,4.7,0,0,0,4,0,23,0,0,0,-2,0,126,-76,8,18,3,,
Ludvig Claesson,B,6.7 mkr,130,0.6,3.0,4,21,0,0,4,98,3,0,8,-12,4,0,0,0,0,0,,
Victor Sjöholm,B,6.6 mkr,129,2.2,2.7,0,9,0,0,-14,97,2,0,11,-11,35,0,0,0,0,0,,
Henrik Törnqvist,FW,6.6 mkr,128,4.6,2.6,28,24,4,0,-6,99,0,-18,5,-9,1,0,0,0,0,0,,
Andreas Johnson,FW,7.1 mkr,128,3.8,2.7,24,30,2,0,-16,92,3,0,3,-14,4,0,0,0,0,0,,
Leon Bristedt,FW,8.7 mkr,128,3.2,4.6,20,54,0,0,2,54,3,0,2,-14,7,0,0,0,0,0,,
Albin Lundin,C,6.2 mkr,128,4,2.7,20,27,0,0,4,87,1,-12,3,-7,5,0,0,0,0,0,,
William Von Barnekow,FW,6.4 mkr,128,3.2,2.5,20,15,2,0,-8,100,0,-7,5,-7,8,0,0,0,0,0,,
Axel Rindell,B,6.9 mkr,128,1,2.8,4,42,0,0,-22,100,2,0,3,-8,7,0,0,0,0,0,,
Daniel Marmenlind,MV,8.0 mkr,128,1.2,4.7,0,0,0,6,0,24,0,0,0,0,0,110,-71,4,24,4,,
Karl Henriksson,FW,7.2 mkr,127,8.2,3.5,36,15,0,0,12,71,2,-10,2,-5,1,0,0,0,0,0,,
Isac Brännström,FW,6.5 mkr,127,4.4,2.6,12,33,0,0,-20,94,1,0,3,-3,7,0,0,0,0,0,,
Isac Hedqvist,FW,7.1 mkr,125,3.6,3.4,16,30,2,0,10,64,0,0,4,-3,2,0,0,0,0,0,,
Marek Langhamer,MV,7.9 mkr,125,4.6,5,0,3,0,4,0,24,0,0,0,0,0,102,-67,4,30,0,,
Anton Lundmark,FW,6.4 mkr,124,5.2,2.6,20,12,0,0,4,78,3,0,4,0,3,0,0,0,0,0,,
Oscar Pettersson,FW,6.0 mkr,123,3.4,2.4,12,12,0,0,-22,98,1,0,3,-10,29,0,0,0,0,0,,
Zach Giuttari,B,7.1 mkr,123,4.4,2.4,8,18,0,0,-18,115,2,0,7,-9,0,0,0,0,0,0,,
Tobias Normann,MV,7.7 mkr,123,2.2,5.6,0,6,0,8,0,20,0,0,0,-1,0,86,-46,0,27,1,,
Michael Brandsegg-Nygård,FW,6.8 mkr,121,2,2.9,20,18,0,0,-4,83,3,0,3,-18,16,0,0,0,0,0,,
Gregor Biber,B,6.4 mkr,120,3.4,2.6,8,3,0,0,16,85,0,0,2,-12,18,0,0,0,0,0,,
Ludvig Larsson,C,6.9 mkr,119,0,3.0,32,12,2,0,-10,78,2,0,1,-5,7,0,0,0,0,0,,
Henrik Haapala,FW,6.6 mkr,118,2.2,2.4,16,30,2,0,-26,101,1,-2,0,-9,5,0,0,0,0,0,,
Broc Little,FW,7.0 mkr,117,0,3.1,20,33,0,0,-6,74,1,0,1,-6,0,0,0,0,0,0,,
August Tornberg,B,6.5 mkr,117,0.4,2.9,4,12,2,0,22,81,1,0,1,-6,0,0,0,0,0,0,,
Johan Ivarsson,B,6.2 mkr,115,2.8,2.3,0,9,0,0,-12,103,1,0,9,-20,25,0,0,0,0,0,,
David Lilja,FW,6.5 mkr,114,1.8,2.6,32,6,4,0,8,62,0,0,4,-5,3,0,0,0,0,0,,
Jeremy Boyce-Rotevall,FW,5.8 mkr,114,2.2,2.2,12,6,0,0,-10,88,0,-2,9,-4,12,0,0,0,0,0,,
Joel Lassinantti,MV,8.5 mkr,114,2.4,5.4,0,0,0,2,0,20,0,0,0,0,0,84,-52,4,33,2,,
Oskar Nilsson,B,6.3 mkr,113,2.8,2.3,12,12,0,0,-14,111,0,0,10,-22,4,0,0,0,0,0,,
Victor Stjernborg,FW,6.6 mkr,110,0.8,3.0,12,18,0,0,12,70,0,-4,2,-1,1,0,0,0,0,0,,
Jamiro Reber,FW,5.5 mkr,109,0.8,2.3,32,21,4,0,-22,92,1,-16,0,-3,0,0,0,0,0,0,,
Alexander Lundqvist,B,7.0 mkr,109,1.4,2.4,4,12,0,0,-12,100,0,0,5,-6,6,0,0,0,0,0,,
William Worge Kreü,B,6.3 mkr,109,2.2,2.4,0,21,0,0,-14,98,2,0,7,-8,3,0,0,0,0,0,,
Sam Vigneault,C,7.0 mkr,108,1.6,3.4,8,30,0,0,6,63,1,0,4,-5,1,0,0,0,0,0,,
